song_title,artist,chart_name,
End of Beginning,Djo,Spotify Weekly Top USA,
Kill Me Fast,Three Days Grace,Billboard Rock,
infinite source,Deftones,Billboard Rock,
Dark Thoughts,The Funeral Portrait,Billboard Rock,
The Spell,Mammoth,Billboard Rock,
Making Love to Morgan Wallen,Limp Bizkit,Billboard Rock,
End of You,Poppy,Billboard Rock,
Bored,Return to Dust,Billboard Rock,
Dying to Love,Bad Omens,Billboard Rock,
The Great Unknown,Ice Nine Kills,Billboard Rock,
Asking For A Friend,Foo Fighters,Billboard Rock,
Crossing the Rubicon,Sabaton,Billboard Rock,
Caramel,Sleep Token,Billboard Rock,
The Bottom,Daughtry,Billboard Rock,
Pale Horse,Chevelle,Billboard Rock,
Nothin',Guns N' Roses,Billboard Rock,
Break The Silence,Nevertel,Billboard Rock,
Tonight We Must Be Warriors,Avatar,Billboard Rock,
Hellbound,Autumn Kings,Billboard Rock,
Searchlight,Shinedown,Billboard Rock,
Silent Divide,Alter Bridge,Billboard Rock,
Lost All Control,Seether,Billboard Rock,
This Land,Des Rocs,Billboard Rock,
So Far So Fake,Pierce The Veil,Billboard Rock,
Shallow,Magnolia Park,Billboard Rock,
My Only Angel,Aerosmith,Billboard Rock,
For I Am Death,The Pretty Reckless,Billboard Rock,
Like A Woman Can,Halestorm,Billboard Rock,
Bout to Lost It,Dinosaur Pile-Up,Billboard Rock,
The End,Five Finger Death Punch,Billboard Rock,
Everybody Knows,The Devil Wears Prada,Billboard Rock,
Bad Omen,The Haunt,Billboard Rock,
Celebrate,Black Stone Cherry,Billboard Rock,
Look Out For Me,Turnstile,Billboard Rock,
Gasoline (All Rage Still Only Numb),Story Of The Year,Billboard Rock,
Barely Human,LYLVC,Billboard Rock,
How The Story Ends,Velvet Chains,Billboard Rock,
Digging My Grave,Backhand Blue,Billboard Rock,
Ensenada,Sublime,Billboard Rock,
Here to Bleed,Zero 9:36,Billboard Rock,
Say Goodbye,Lines of Loyalty,Billboard Rock,
Downstairs,Matt Maeson,Billboard Rock,
Get The Message,The Paradox,Billboard Rock,
Dracula,Tame Impala,Billboard Rock,
City Walls,Twenty One Pilots,Billboard Rock,
Zombie,YUNGBLUD,Billboard Rock,
Rubber Band Man,Mumford & Sons,Billboard Rock,
The Weather,All Time Low,Billboard Rock,
12 to 12,sombr,Billboard Rock,
Lucy,Mt. Joy,Billboard Rock,
Specter,Bad Omens,Billboard Rock,
mangetout,Wet Leg,Billboard Rock,
Doubletake,Edgehill,Billboard Rock,
Holy Roller,The Format,Billboard Rock,
The Wreckage,Silversun Pickups,Billboard Rock,
Hula Girl,The Neighbourhood,Billboard Rock,
Tanana,Portugal. The Man,Billboard Rock,
All My Friends Are So Depressed,Joyce Manor,Billboard Rock,
who's your boyfriend,Royel Otis,Billboard Rock,
Lost,almost Monday,Billboard Rock,
Delete Ya,Djo,Billboard Rock,
Tonight Tonight,Stephen Wilson Jr.,Billboard Rock,
World Apart,Bike Routes,Billboard Rock,
Cobra,Geese,Billboard Rock,
White Horses,Wolf Alice,Billboard Rock,
The Happy Dictator,Gorillaz,Billboard Rock,
Parachute,Hayley Williams,Billboard Rock,
Ordinary Creature,Of Monsters and Men,Billboard Rock,
Fascination in the Dark,Vance Joy,Billboard Rock,
Can I call You in the Morning,The Beaches,Billboard Rock,
The Roads,Jonah Kagen,Billboard Rock,
fLoAT,Out In Front,Billboard Rock,
Kill the Ghost,Little Image,Billboard Rock,
DTMF,Bad Bunny,Billboard Latin,
Baile Inolvidable,Bad Bunny,Billboard Latin,
Nuevayol,Bad Bunny,Billboard Latin,
Voy A Llevarte Pa PR,Bad Bunny,Billboard Latin,
EOO,Bad Bunny,Billboard Latin,
Velda,Bad Bunny,Billboard Latin,
El Club,Bad Bunny,Billboard Latin,
Weltita,Bad Bunny,Billboard Latin,
Loco,Neton Vega,Billboard Latin,
Perfumito Nuevo,Bad Bunny,Billboard Latin,
Kloufrens,Bad Bunny,Billboard Latin,
Ketu Tecre,Bad Bunny,Billboard Latin,
Que Pasaria…,Rauw Alejandro,Billboard Latin,
Cafe Con Ron,Bad Bunny,Billboard Latin,
Bokete,Bad Bunny,Billboard Latin,
Tu Boda,Oscar Maydon,Billboard Latin,
Turista,Bad Bunny,Billboard Latin,
Pitorro de Coco,Bad Bunny,Billboard Latin,
La Mudanza,Bad Bunny,Billboard Latin,
Lo Que Le Paso A Hawaii,Bad Bunny,Billboard Latin,
Rosones,Tito Double P,Billboard Latin,
Nadie,Tito Double P,Billboard Latin,
Dos Dias,Tito Double P,Billboard Latin,
Khe?,Rauw Alejandro,Billboard Latin,
Me Jalo,Fuerza Regida,Billboard Latin,
Bandida,Luis R Conriquez,Billboard Latin,
Presidente,Gabito Ballesteros,Billboard Latin,
Tu Con El,Rauw Alejandro,Billboard Latin,
Rosones,Jorsshh,Billboard Latin,
Escapate,Tito Double P,Billboard Latin,
Hecha Pa' Mi,Grupo Frontera,Billboard Latin,
Gervonta,Peso Pluma,Billboard Latin,
Soltera,Shakira,Billboard Latin,
Morena Canela,Chino Pacas,Billboard Latin,
Imaginate,Danny Ocean,Billboard Latin,
Rey Sin Reina,Julion Alvarez y Su Norteno Banda,Billboard Latin,
Degenere,Myke Towers,Billboard Latin,
Bing Bong,Yailin La Mas Viral,Billboard Latin,
No Pasa Nada,Fuerza Regida,Billboard Latin,
